"""Parent ID number""",ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
T,T1916,T1916 - Document planned system security control implementations,Document planned system security control implementations,1,,,,0,null,,3187,,
T,T1896,T1896 - Mitigate Personal Identifiable Information (PII) breaches,Mitigate Personal Identifiable Information (PII) breaches,1,,,,0,null,OG-WRL-008,3188,,
T,T1907,T1907 - Establish organizational risk management strategies,Establish organizational risk management strategies,1,,,,0,null,OG-WRL-008,3189,,
T,T1897,T1897 - Administer action on organizational privacy complaints,Administer action on organizational privacy complaints,1,,,,0,null,OG-WRL-008,3190,,
T,T1912,T1912 - Determine system boundaries,Determine system boundaries,1,,,,0,null,,3191,,
T,T1898,T1898 - Determine if the organization's privacy program complies with federal and state privacy ...,Determine if the organization's privacy program complies with federal and state privacy laws and regulations,1,,,,0,null,OG-WRL-008,3192,,
T,T1908,T1908 - Determine which business functions a system supports,Determine which business functions a system supports,1,,,,0,null,,3193,,
T,T1899,T1899 - Identify organizational privacy compliance gaps,Identify organizational privacy compliance gaps,1,,,,0,null,OG-WRL-008,3194,,
T,T1915,T1915 - Identify required system security controls,Identify required system security controls,1,,,,0,null,,3195,,
T,T1900,T1900 - Correct organizational privacy compliance gaps,Correct organizational privacy compliance gaps,1,,,,0,null,OG-WRL-008,3196,,
T,T1909,T1909 - Determine system stakeholders,Determine system stakeholders,1,,,,0,null,,3197,,
T,T1901,T1901 - Manage privacy breaches,Manage privacy breaches,1,,,,0,null,OG-WRL-008,3198,,
T,T1917,T1917 - Establish security control monitoring strategies,Establish security control monitoring strategies,1,,,,0,null,,3199,,
T,T1918,T1918 - Review and approve System Security Plans (SSPs),Review and approve System Security Plans (SSPs),1,,,,0,null,,3200,,
T,T1935,T1935 - Update cybersecurity action plans,Update cybersecurity action plans,1,,,,0,null,,3201,,
T,T1919,T1919 - Implement system security controls,Implement system security controls,1,,,,0,null,,3202,,
T,T1947,T1947 - Determine if continuous monitoring data provides situational awareness of risk levels,Determine if continuous monitoring data provides situational awareness of risk levels,1,,,,0,null,,3203,,
T,T1920,T1920 - Establish system configuration baselines,Establish system configuration baselines,1,,,,0,null,,3204,,
T,T1936,T1936 - Report system security status to authorizing officials,Report system security status to authorizing officials,1,,,,0,null,,3205,,
T,T1921,T1921 - Document changes to planned system control implementations,Document changes to planned system control implementations,1,,,,0,null,,3206,,
T,T1943,T1943 - Make cybersecurity investment decisions to address persistent issues,Make cybersecurity investment decisions to address persistent issues,1,,,,0,null,,3207,,
T,T1922,T1922 - Develop system security control assessment plans,Develop system security control assessment plans,1,,,,0,null,,3208,,
T,T1937,T1937 - Determine if system security meets acceptable risk levels,Determine if system security meets acceptable risk levels,1,,,,0,null,,3209,,
T,T1923,T1923 - Approve system security control assessment plans,Approve system security control assessment plans,1,,,,0,null,,3210,,
T,T1946,T1946 - Determine if risk metrics support continuous monitoring,Determine if risk metrics support continuous monitoring,1,,,,0,null,,3211,,
T,T1924,T1924 - Determine effectiveness of security controls,Determine effectiveness of security controls,1,,,,0,null,,3212,,
T,T1938,T1938 - Establish system disposal processes,Establish system disposal processes,1,,,,0,null,,3213,,
T,T1925,T1925 - Prepare security control assessment reports,Prepare security control assessment reports,1,,,,0,null,,3214,,
T,T1944,T1944 - Provide training and resources to continuous monitoring staff,Provide training and resources to continuous monitoring staff,1,,,,0,null,,3215,,
T,T1926,T1926 - Conduct security control remediations,Conduct security control remediations,1,,,,0,null,,3216,,
T,T1939,T1939 - Implement system disposal processes,Implement system disposal processes,1,,,,0,null,,3217,,
T,T1927,T1927 - Develop cybersecurity action plans and milestones,Develop cybersecurity action plans and milestones,1,,,,0,null,,3218,,
T,T1949,T1949 - Establish system-level reporting categories,Establish system-level reporting categories,1,,,,0,null,,3219,,
T,T1928,T1928 - Prepare authorization packages,Prepare authorization packages,1,,,,0,null,,3220,,
T,T1940,T1940 - Form continuous monitoring working groups,Form continuous monitoring working groups,1,,,,0,null,,3221,,
T,T1929,T1929 - Submit authorization packages to authorizing officials for adjudication,Submit authorization packages to authorizing officials for adjudication,1,,,,0,null,,3222,,
T,T1945,T1945 - Prepare continuous monitoring reports,Prepare continuous monitoring reports,1,,,,0,null,,3223,,
T,T1930,T1930 - Determine risks of operating or using a system,Determine risks of operating or using a system,1,,,,0,null,,3224,,
T,T1941,T1941 - Establish continuous monitoring scoring and grading metrics,Establish continuous monitoring scoring and grading metrics,1,,,,0,null,,3225,,
T,T1931,T1931 - Determine risks of using common controls,Determine risks of using common controls,1,,,,0,null,,3226,,
T,T1948,T1948 - Define unacceptable risk threshold triggers for continuous monitoring data,Define unacceptable risk threshold triggers for continuous monitoring data,1,,,,0,null,,3227,,
T,T1932,T1932 - Implement cybersecurity action plans,Implement cybersecurity action plans,1,,,,0,null,,3228,,
T,T1942,T1942 - Integrate a continuous monitoring program into organizational security governance ...,Integrate a continuous monitoring program into organizational security governance structures and policies,1,,,,0,null,,3229,,
T,T1933,T1933 - Determine if system security risks are acceptable,Determine if system security risks are acceptable,1,,,,0,null,,3230,,
T,T1950,T1950 - Manage the continuous monitoring program,Manage the continuous monitoring program,1,,,,0,null,,3231,,
T,T1934,T1934 - Determine if common control risks are acceptable,Determine if common control risks are acceptable,1,,,,0,null,,3232,,
T,T1951,T1951 - Establish continuous monitoring communication processes,Establish continuous monitoring communication processes,1,,,,0,null,,3233,,
T,T1977,T1977 - Coordinate with internal and external incident management partners across jurisdictions,Coordinate with internal and external incident management partners across jurisdictions,1,,,,0,null,PD-WRL-005,3234,,
T,T1952,T1952 - Identify reporting requirements that are fulfilled by the continuous monitoring program,Identify reporting requirements that are fulfilled by the continuous monitoring program,1,,,,0,null,,3235,,
T,T1967,T1967 - Coordinate responses to issues flagged during continuous monitoring,Coordinate responses to issues flagged during continuous monitoring,1,,,,0,null,,3236,,
T,T1953,T1953 - Establish continuous monitoring reporting requirements,Establish continuous monitoring reporting requirements,1,,,,0,null,,3237,,
T,T1974,T1974 - Conduct insider threat risk assessments,Conduct insider threat risk assessments,1,,,,0,null,PD-WRL-005,3238,,
T,T1954,T1954 - Perform continuous monitoring,Perform continuous monitoring,1,,,,0,null,,3239,,
T,T1968,T1968 - Implement risk mitigation strategies,Implement risk mitigation strategies,1,,,,0,null,,3240,,
T,T1955,T1955 - Establish automated control assessment reporting requirements,Establish automated control assessment reporting requirements,1,,,,0,null,,3241,,
T,T1979,T1979 - Collect digital evidence that meets priority intelligence requirements,Collect digital evidence that meets priority intelligence requirements,1,,,,0,null,PD-WRL-005,3242,,
T,T1956,T1956 - Conduct continuous monitoring data assessments,Conduct continuous monitoring data assessments,1,,,,0,null,,3243,,
T,T1969,T1969 - Document system alerts,Document system alerts,1,,,,0,null,PD-WRL-005,3244,,
T,T1957,T1957 - Integrate continuous monitoring results in ongoing authorizations,Integrate continuous monitoring results in ongoing authorizations,1,,,,0,null,,3245,,
T,T1975,T1975 - Prepare insider threat briefings,Prepare insider threat briefings,1,,,,0,null,PD-WRL-005,3246,,
T,T1958,T1958 - Establish access control processes for continuous monitoring tools and technologies,Establish access control processes for continuous monitoring tools and technologies,1,,,,0,null,,3247,,
T,T1970,T1970 - Escalate system alerts that may indicate risks,Escalate system alerts that may indicate risks,1,,,,0,null,PD-WRL-005,3248,,
T,T1959,T1959 - Implement access control processes for continuous monitoring tools and technologies,Implement access control processes for continuous monitoring tools and technologies,1,,,,0,null,,3249,,
T,T1978,T1978 - Recommend improvements to insider threat detection processes,Recommend improvements to insider threat detection processes,1,,,,0,null,PD-WRL-005,3250,,
T,T1960,T1960 - Establish technical help processes for continuous monitoring mitigators,Establish technical help processes for continuous monitoring mitigators,1,,,,0,null,,3251,,
T,T1971,T1971 - Disseminate anomalous activity reports to the insider threat hub,Disseminate anomalous activity reports to the insider threat hub,1,,,,0,null,PD-WRL-005,3252,,
T,T1961,T1961 - Communicate continuous monitoring reporting requirements,Communicate continuous monitoring reporting requirements,1,,,,0,null,,3253,,
T,T1976,T1976 - Recommend risk mitigation courses of action (CoA),Recommend risk mitigation courses of action (CoA),1,,,,0,null,PD-WRL-005,3254,,
T,T1962,T1962 - Define responsibilities for implementing continuous monitoring tools or technologies,Define responsibilities for implementing continuous monitoring tools or technologies,1,,,,0,null,,3255,,
T,T1972,T1972 - Identify anomalous activity,Identify anomalous activity,1,,,,0,null,,3256,,
T,T1963,T1963 - Establish liaison to scoring and metrics working group,Establish liaison to scoring and metrics working group,1,,,,0,null,,3257,,
T,T1980,T1980 - Develop digital evidence reports for internal and external partners,Develop digital evidence reports for internal and external partners,1,,,,0,null,PD-WRL-005,3258,,
T,T1964,T1964 - Establish risk management processes,Establish risk management processes,1,,,,0,null,,3259,,
T,T1973,T1973 - Conduct independent comprehensive assessments of target-specific information,Conduct independent comprehensive assessments of target-specific information,1,,,,0,null,PD-WRL-005,3260,,
T,T1965,T1965 - Establish performance measurement requirements for continuous monitoring tools and ...,Establish performance measurement requirements for continuous monitoring tools and technologies,1,,,,0,null,,3261,,
T,T1981,T1981 - Develop elicitation indicators,Develop elicitation indicators,1,,,,0,null,PD-WRL-005,3262,,
T,T1966,T1966 - Assess continuous monitoring performance,Assess continuous monitoring performance,1,,,,0,null,,3263,,
T,T1982,T1982 - Identify high value assets,Identify high value assets,1,,,,0,null,PD-WRL-005,3264,,
T,T2010,T2010 - Maintain User Activity Monitoring (UAM) tools,Maintain User Activity Monitoring (UAM) tools,1,,,,0,null,PD-WRL-005,3265,,
T,T1983,T1983 - Identify potential insider threats,Identify potential insider threats,1,,,,0,null,PD-WRL-005,3266,,
T,T1999,T1999 - Refer cases on active insider threat activities to law enforcement investigators,Refer cases on active insider threat activities to law enforcement investigators,1,,,,0,null,PD-WRL-005,3267,,
T,T1984,T1984 - Notify appropriate personnel of imminent of imminent hostile intentions or activities,Notify appropriate personnel of imminent of imminent hostile intentions or activities,1,,,,0,null,,3268,,
T,T2006,T2006 - Identify potential targets for exploitation,Identify potential targets for exploitation,1,,,,0,null,PD-WRL-005,3269,,
T,T1985,T1985 - Identify imminent or hostile intentions or activities,Identify imminent or hostile intentions or activities,1,,,,0,null,PD-WRL-005,3270,,
T,T2000,T2000 - Perform cybersecurity reviews,Perform cybersecurity reviews,1,,,,0,null,,3271,,
T,T1986,T1986 - Develop a continuously updated overview of an incident throughout the incident's life cycle,Develop a continuously updated overview of an incident throughout the incident's life cycle,1,,,,0,null,PD-WRL-005,3272,,
T,T2009,T2009 - Develop insider threat targets,Develop insider threat targets,1,,,,0,null,PD-WRL-005,3273,,
T,T1987,T1987 - Develop insider threat cyber operations indicators,Develop insider threat cyber operations indicators,1,,,,0,null,PD-WRL-005,3274,,
T,T2001,T2001 - Establish an insider threat risk management assessment program,Establish an insider threat risk management assessment program,1,,,,0,null,PD-WRL-005,3275,,
T,T1988,"T1988 - Integrate information from cyber resources, internal partners, and external partners","Integrate information from cyber resources, internal partners, and external partners",1,,,,0,null,PD-WRL-005,3276,,
T,T2007,T2007 - Analyze potential targets for exploitation,Analyze potential targets for exploitation,1,,,,0,null,PD-WRL-005,3277,,
T,T1989,T1989 - Advise insider threat hub inquiries,Advise insider threat hub inquiries,1,,,,0,null,PD-WRL-005,3278,,
T,T2002,T2002 - Recommend courses of action or countermeasures to mitigate risks,Recommend courses of action or countermeasures to mitigate risks,1,,,,0,null,,3279,,
T,T1990,T1990 - Conduct cybersecurity insider threat inquiries,Conduct cybersecurity insider threat inquiries,1,,,,0,null,PD-WRL-005,3280,,
T,T2012,T2012 - Check network connections,Check network connections,1,,,,0,null,IN-WRL-002,3281,,
T,T1991,T1991 - Deliver all-source cyber operations and intelligence indications and warnings,Deliver all-source cyber operations and intelligence indications and warnings,1,,,,0,null,PD-WRL-005,3282,,
T,T2003,T2003 - Evaluate organizational insider risk response capabilities,Evaluate organizational insider risk response capabilities,1,,,,0,null,PD-WRL-005,3283,,
T,T1992,T1992 - Interpret network activity for intelligence value,Interpret network activity for intelligence value,1,,,,0,null,PD-WRL-005,3284,,
T,T2008,T2008 - Vet insider threat targeting with law enforcement and intelligence partners,Vet insider threat targeting with law enforcement and intelligence partners,1,,,,0,null,,3285,,
T,T1993,T1993 - Monitor network activity for vulnerabilities,Monitor network activity for vulnerabilities,1,,,,0,null,PD-WRL-005,3286,,
T,T2004,T2004 - Document insider threat information sources,Document insider threat information sources,1,,,,0,null,PD-WRL-005,3287,,
T,T1994,T1994 - Identify potential insider risks to networks,Identify potential insider risks to networks,1,,,,0,null,PD-WRL-005,3288,,
T,T2011,T2011 - Monitor the output from User Activity Monitoring (UAM) tools,Monitor the output from User Activity Monitoring (UAM) tools,1,,,,0,null,PD-WRL-005,3289,,
T,T1995,T1995 - Document potential insider risks to networks,Document potential insider risks to networks,1,,,,0,null,PD-WRL-005,3290,,
T,T2005,T2005 - Conduct insider threat studies,Conduct insider threat studies,1,,,,0,null,PD-WRL-005,3291,,
T,T1996,T1996 - Report network vulnerabilities,Report network vulnerabilities,1,,,,0,null,PD-WRL-005,3292,,
T,T2013,T2013 - Look for indicators of intrusions,Look for indicators of intrusions,1,,,,0,null,IN-WRL-002,3293,,
T,T1997,T1997 - Develop insider threat investigation plans,Develop insider threat investigation plans,1,,,,0,null,PD-WRL-005,3294,,
T,T2014,T2014 - Identify devices and networks on scene,Identify devices and networks on scene,1,,,,0,null,IN-WRL-002,3295,,
T,T1998,T1998 - Investigate alleged insider threat cybersecurity policy violations,Investigate alleged insider threat cybersecurity policy violations,1,,,,0,null,PD-WRL-005,3296,,
T,T2015,T2015 - Collect devices containing digital evidence,Collect devices containing digital evidence,1,,,,0,null,IN-WRL-002,3297,,
T,T2031,T2031 - Identify gaps in OT network architecture,Identify gaps in OT network architecture,1,,,,0,null,DD-WRL-009,3298,,
T,T2016,T2016 - Identify areas of compromise,Identify areas of compromise,1,,,,0,null,IN-WRL-002,3299,,
T,T2043,T2043 - Oversee implementation of system controls,Oversee implementation of system controls,1,,,,0,null,DD-WRL-009,3300,,
T,T2017,T2017 - Acquire digital evidence,Acquire digital evidence,1,,,,0,null,IN-WRL-002,3301,,
T,T2032,T2032 - Assign security level targets to network zones for control systems,Assign security level targets to network zones for control systems,1,,,,0,null,DD-WRL-009,3302,,
T,T2018,T2018 - Create a digital footprint of raw or physical data,Create a digital footprint of raw or physical data,1,,,,0,null,IN-WRL-002,3303,,
T,T2039,T2039 - Determine the impact of cybersecurity requirements on costs and budgeting,Determine the impact of cybersecurity requirements on costs and budgeting,1,,,,0,null,DD-WRL-009,3304,,
T,T2019,T2019 - Process data into readable format,Process data into readable format,1,,,,0,null,IN-WRL-002,3305,,
T,T2033,T2033 - Create a change management plan,Create a change management plan,1,,,,0,null,DD-WRL-009,3306,,
T,T2020,T2020 - Prepare data for ingestion into application systems,Prepare data for ingestion into application systems,1,,,,0,null,IN-WRL-002,3307,,
T,T2042,T2042 - Generate cyberattack scenarios of serious physical consequence,Generate cyberattack scenarios of serious physical consequence,1,,,,0,null,DD-WRL-009,3308,,
T,T2021,T2021 - Recover deleted or overwritten data files,Recover deleted or overwritten data files,1,,,,0,null,IN-WRL-002,3309,,
T,T2034,T2034 - Design cybersecurity tools for OT systems,Design cybersecurity tools for OT systems,1,,,,0,null,DD-WRL-009,3310,,
T,T2022,T2022 - Create derivative evidence from findings report,Create derivative evidence from findings report,1,,,,0,null,IN-WRL-002,3311,,
T,T2040,T2040 - Conduct cybersecurity reviews of OT system engineering plans and documentation,Conduct cybersecurity reviews of OT system engineering plans and documentation,1,,,,0,null,DD-WRL-009,3312,,
T,T2023,T2023 - Serve as subject expert in training fact witnesses for testifying,Serve as subject expert in training fact witnesses for testifying,1,,,,0,null,IN-WRL-002,3313,,
T,T2035,T2035 - Perform a process hazard analysis (PHA),Perform a process hazard analysis (PHA),1,,,,0,null,DD-WRL-009,3314,,
T,T2024,T2024 - Present factual causality to support attribution of criminal activity,Present factual causality to support attribution of criminal activity,1,,,,0,null,IN-WRL-002,3315,,
T,T2044,T2044 - Develop system upgrade specifications,Develop system upgrade specifications,1,,,,0,null,DD-WRL-009,3316,,
T,T2025,T2025 - Prepare technical materials for legal proceedings,Prepare technical materials for legal proceedings,1,,,,0,null,IN-WRL-002,3317,,
T,T2036,"T2036 - Review policies, standards, and regulations for conflicts that may create control system ...","Review policies, standards, and regulations for conflicts that may create control system vulnerabilities",1,,,,0,null,DD-WRL-009,3318,,
T,T2026,T2026 - Serve as liaison to prosecutors,Serve as liaison to prosecutors,1,,,,0,null,IN-WRL-002,3319,,
T,T2041,T2041 - Participate in safety system design processes to counteract potential cybersecurity sabotage,Participate in safety system design processes to counteract potential cybersecurity sabotage,1,,,,0,null,DD-WRL-009,3320,,
T,T2027,T2027 - Manage forensic laboratory accreditation processes,Manage forensic laboratory accreditation processes,1,,,,0,null,IN-WRL-002,3321,,
T,T2037,T2037 - Create cybersecurity inspection and test policies and procedures for OT systems,Create cybersecurity inspection and test policies and procedures for OT systems,1,,,,0,null,DD-WRL-009,3322,,
T,T2028,T2028 - Develop OT inventory model for cybersecurity ,Develop OT inventory model for cybersecurity ,1,,,,0,null,DD-WRL-009,3323,,
T,T2045,T2045 - Assign networked engineering assets to security zones,Assign networked engineering assets to security zones,1,,,,0,null,DD-WRL-009,3324,,
T,T2029,T2029 - Serve as OT engineering subject matter expert during development of change management ...,Serve as OT engineering subject matter expert during development of change management policies and procedures,1,,,,0,null,DD-WRL-009,3325,,
T,T2038,T2038 - Develop system procurement specifications,Develop system procurement specifications,1,,,,0,null,DD-WRL-009,3326,,
T,T2030,T2030 - Determine if implementation of security measures and controls meets regulatory standards ...,Determine if implementation of security measures and controls meets regulatory standards and is in compliance with legal or policy requirements,1,,,,0,null,DD-WRL-009,3327,,
T,T2046,T2046 - Communicate implication of new and upgraded technologies to cybersecurity program ...,Communicate implication of new and upgraded technologies to cybersecurity program stakeholders,1,,,,0,null,DD-WRL-009,3328,,
T,T2047,T2047 - Inventory OT assets,Inventory OT assets,1,,,,0,null,DD-WRL-009,3329,,
T,T2048,T2048 - Recommend cybersecurity requirements for integration in continuity planning,Recommend cybersecurity requirements for integration in continuity planning,1,,,,0,null,DD-WRL-009,3330,,
T,T2049,"T2049 - Serve as OT engineering subject matter expert for cybersecurity standards, policies, and ...","Serve as OT engineering subject matter expert for cybersecurity standards, policies, and procedures development",1,,,,0,null,DD-WRL-009,3331,,
T,T2050,T2050 - Serve as OT engineering subject matter expert for development of organizational ...,Serve as OT engineering subject matter expert for development of organizational cybersecurity risk management plan,1,,,,0,null,DD-WRL-009,3332,,
T,T2051,T2051 - Train cybersecurity defense technicians on OT system processes and procedures,Train cybersecurity defense technicians on OT system processes and procedures,1,,,,0,null,DD-WRL-009,3333,,
K,K1137,K1137 - Knowledge of cybersecurity requirements,Knowledge of cybersecurity requirements,1,,,,0,null,"DD-WRL-001,DD-WRL-003,DD-WRL-005,OG-WRL-010,OG-WRL-011,OG-WRL-015,OG-WRL-002,OG-WRL-003,OG-WRL-009,OG-WRL-016,OG-WRL-014",4344,,
S,S0378,S0378 - Skill in decrypting information,Skill in decrypting information,1,,,,0,null,"IN-WRL-002,PD-WRL-002,PD-WRL-005",3335,,
S,S0790,S0790 - Skill in monitoring status,Skill in monitoring status,1,,,,0,null,"DD-WRL-004,OG-WRL-012",3339,,
S,S0415,S0415 - Skill in evaluating regulations,Skill in evaluating regulations,1,,,,0,null,"OG-WRL-006,OG-WRL-012,OG-WRL-007,OG-WRL-013",3336,,
S,S0011,S0011 - Skill in conducting information searches,Skill in conducting information searches,1,,,,0,null,IO-WRL-003,3341,,
S,S0416,S0416 - Skill in evaluating policies,Skill in evaluating policies,1,,,,0,null,"OG-WRL-006,OG-WRL-012,OG-WRL-007,OG-WRL-013",3337,,
S,S0375,S0375 - Skill in developing information requirements,Skill in developing information requirements,1,,,,0,null,,3340,,
S,S0741,S0741 - Skill in administering servers,Skill in administering servers,1,,,,0,null,IO-WRL-005,3338,,
S,S0015,S0015 - Skill in conducting test events,Skill in conducting test events,1,,,,0,null,"DD-WRL-007,OG-WRL-012",3343,,
S,S0177,S0177 - Skill in performing network analysis on targets,Skill in performing network analysis on targets,1,,,,0,null,OG-WRL-012,3342,,
S,S0136,"S0136 - Skill in network systems management principles, models, methods (e.g., end-to-end systems...","Skill in network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools",1,,,,0,null,"OG-WRL-012,NF-COM-007",3344,,
S,S0028,S0028 - Skill in developing data dictionaries,Skill in developing data dictionaries,1,,,,0,null,IO-WRL-001,3345,,
K,K1138,K1138 - Knowledge of cybersecurity standards and best practices,Knowledge of cybersecurity standards and best practices,1,,,,0,null,"IN-WRL-001,OG-WRL-006,OG-WRL-008",4345,,
S,S0221,S0221 - Skill in extracting information from packet captures,Skill in extracting information from packet captures,1,,,,0,null,,3346,,
S,S0252,S0252 - Skill in processing collected data for follow-on analysis,Skill in processing collected data for follow-on analysis,1,,,,0,null,OG-WRL-012,3364,,
S,S0029,S0029 - Skill in developing data models,Skill in developing data models,1,,,,0,null,IO-WRL-001,3347,,
S,S0411,S0411 - Skill in developing career paths,Skill in developing career paths,1,,,,0,null,OG-WRL-003,3376,,
S,S0141,S0141 - Skill in assessing security systems designs,Skill in assessing security systems designs,1,,,,0,null,"DD-WRL-001,DD-WRL-009,DD-WRL-004,IO-WRL-006,OG-WRL-012,NF-COM-007",3348,,
S,S0111,S0111 - Skill in interfacing with customers,Skill in interfacing with customers,1,,,,0,null,"IO-WRL-005,OG-WRL-012,OG-WRL-007,PD-WRL-006",3365,,
S,S0035,S0035 - Skill in establishing a routing schema,Skill in establishing a routing schema,1,,,,0,null,IO-WRL-004,3349,,
S,S0406,S0406 - Skill in developing policy plans,Skill in developing policy plans,1,,,,0,null,"OG-WRL-002,OG-WRL-003,OG-WRL-007,OG-WRL-013,OG-WRL-008",3372,,
S,S0186,S0186 - Skill in applying crisis planning procedures,Skill in applying crisis planning procedures,1,,,,0,null,,3350,,
S,S0114,S0114 - Skill in performing sensitivity analysis,Skill in performing sensitivity analysis,1,,,,0,null,IO-WRL-001,3366,,
S,S0045,S0045 - Skill in optimizing database performance,Skill in optimizing database performance,1,,,,0,null,"IO-WRL-005,IO-WRL-002",3351,,
S,S0383,S0383 - Skill in analyzing an organization's enterprise information technology architecture,Skill in analyzing an organization's enterprise information technology architecture,1,,,,0,null,"DD-WRL-001,DD-WRL-002,DD-WRL-004,NF-COM-007",3375,,
S,S0156,S0156 - Skill in performing packet-level analysis,Skill in performing packet-level analysis,1,,,,0,null,"IN-WRL-002,OG-WRL-005,PD-WRL-001,PD-WRL-002",3352,,
S,S0118,S0118 - Skill in developing machine understandable semantic ontologies,Skill in developing machine understandable semantic ontologies,1,,,,0,null,IO-WRL-001,3367,,
S,S0048,S0048 - Skill in systems integration testing,Skill in systems integration testing,1,,,,0,null,DD-WRL-007,3353,,
S,S0382,S0382 - Skill in tailoring code analysis,Skill in tailoring code analysis,1,,,,0,null,DD-WRL-003,3373,,
S,S0248,S0248 - Skill in performing target system analysis,Skill in performing target system analysis,1,,,,0,null,OG-WRL-012,3354,,
S,S0379,S0379 - Skill in verifying participation in a security awareness program,Skill in verifying participation in a security awareness program,1,,,,0,null,OG-WRL-005,3368,,
S,S0066,S0066 - Skill in identifying gaps in technical capabilities,Skill in identifying gaps in technical capabilities,1,,,,0,null,"DD-WRL-006,OG-WRL-004",3355,,
S,S0384,S0384 - Skill in applying standards,Skill in applying standards,1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-009,NF-COM-007",3377,,
S,S0172,S0172 - Skill in applying secure coding techniques,Skill in applying secure coding techniques,1,,,,0,null,"DD-WRL-001,DD-WRL-003,DD-WRL-004,DD-WRL-008,IO-WRL-001,OG-WRL-012",3356,,
S,S0380,S0380 - Skill in facilitating cybersecurity awareness briefings,Skill in facilitating cybersecurity awareness briefings,1,,,,0,null,OG-WRL-005,3369,,
S,S0077,S0077 - Skill in securing network communications,Skill in securing network communications,1,,,,0,null,"IO-WRL-004,PD-WRL-003,PD-WRL-004",3357,,
S,S0399,S0399 - Skill in creating complex data structures,Skill in creating complex data structures,1,,,,0,null,IO-WRL-001,3374,,
S,S0194,S0194 - Skill in conducting non-attributable research,Skill in conducting non-attributable research,1,,,,0,null,PD-WRL-006,3358,,
S,S0398,S0398 - Skill in analyzing organizational objectives,Skill in analyzing organizational objectives,1,,,,0,null,"OG-WRL-003,OG-WRL-013",3370,,
S,S0080,S0080 - Skill in performing damage assessments,Skill in performing damage assessments,1,,,,0,null,PD-WRL-003,3359,,
S,S0400,S0400 - Skill in creating programming languages,Skill in creating programming languages,1,,,,0,null,IO-WRL-001,3378,,
S,S0175,S0175 - Skill in performing root cause analysis,Skill in performing root cause analysis,1,,,,0,null,"DD-WRL-003,DD-WRL-005,OG-WRL-012",3360,,
S,S0381,S0381 - Skill in developing training programs,Skill in developing training programs,1,,,,0,null,OG-WRL-005,3371,,
S,S0097,S0097 - Skill in applying security controls,Skill in applying security controls,1,,,,0,null,"OG-WRL-005,OG-WRL-012",3361,,
S,S0385,S0385 - Skill in communicating complex concepts,Skill in communicating complex concepts,1,,,,0,null,"DD-WRL-001,DD-WRL-009,DD-WRL-004,DD-WRL-008,IN-WRL-002,OG-WRL-004,OG-WRL-005,OG-WRL-012,PD-WRL-006",3379,,
S,S0208,S0208 - Skill in determining the physical location of network devices,Skill in determining the physical location of network devices,1,,,,0,null,,3362,,
S,S0109,S0109 - Skill in identifying hidden patterns or relationships,Skill in identifying hidden patterns or relationships,1,,,,0,null,IO-WRL-001,3363,,
S,S0407,S0407 - Skill in developing standard operating procedures (SOPs),Skill in developing standard operating procedures (SOPs),1,,,,0,null,"IO-WRL-005,IO-WRL-007,OG-WRL-008",3380,,
S,S0386,S0386 - Skill in communicating verbally,Skill in communicating verbally,1,,,,0,null,"DD-WRL-001,DD-WRL-009,OG-WRL-005,OG-WRL-012",3381,,
S,S0395,S0395 - Skill in developing instructional materials,Skill in developing instructional materials,1,,,,0,null,"OG-WRL-004,OG-WRL-005,OG-WRL-008",3399,,
S,S0401,S0401 - Skill in collecting data,Skill in collecting data,1,,,,0,null,"DD-WRL-007,OG-WRL-012",3382,,
S,S0425,S0425 - Skill in operating network systems,Skill in operating network systems,1,,,,0,null,IO-WRL-004,3412,,
S,S0387,S0387 - Skill in communicating in writing,Skill in communicating in writing,1,,,,0,null,"DD-WRL-001,DD-WRL-009,OG-WRL-005,OG-WRL-012",3383,,
S,S0412,S0412 - Skill in analyzing supplier trustworthiness,Skill in analyzing supplier trustworthiness,1,,,,0,null,"OG-WRL-010,OG-WRL-011,OG-WRL-009",3400,,
S,S0410,S0410 - Skill in creating career path definitions,Skill in creating career path definitions,1,,,,0,null,OG-WRL-003,3384,,
S,S0421,S0421 - Skill in operating network equipment,Skill in operating network equipment,1,,,,0,null,IO-WRL-004,3408,,
S,S0388,S0388 - Skill in facilitating small group discussions,Skill in facilitating small group discussions,1,,,,0,null,"OG-WRL-005,OG-WRL-012",3385,,
S,S0396,S0396 - Skill in forecasting requirements,Skill in forecasting requirements,1,,,,0,null,"OG-WRL-003,OG-WRL-013,NF-COM-007",3401,,
S,S0402,S0402 - Skill in verifying data,Skill in verifying data,1,,,,0,null,"DD-WRL-007,OG-WRL-012",3386,,
S,S0424,S0424 - Skill in executing command line tools,Skill in executing command line tools,1,,,,0,null,"IO-WRL-004,OG-WRL-004,OG-WRL-005",3411,,
S,S0389,S0389 - Skill in facilitating group discussions,Skill in facilitating group discussions,1,,,,0,null,"OG-WRL-005,OG-WRL-012",3387,,
